query,url,__term,searchQuery
,https://www.google.com.br/search?sca_esv=ee794735903e3348&hl=pt-BR&q=Santos+Futebol+Clube&stick=H4sIAAAAAAAAAOMwVOLUz9U3MLTMqcj9xciwgYXhFQs3F0ysPAmJl2tihCxXkYvgGZsaxSPLlVQi6zMzQJFLR5ZLzkXmWWYg80wNF7GKBCfmleQXK7iVlqQm5ecoOOeUJqXeYpNk2L2o4yeL637DjZbGGzeJPd7O_sv9b23ajJWLOJT8S0uKEosVClKLi_OBdElibtLhlbkgfmFpZnFiUWLuCg5GAPwmEGf6AAAA&sa=X&ved=2ahUKEwj2jaaw-sSQAxUoSTABHRl5LsM4ChCz2gEoAHoECCwQFA,Corinthians,"{""countryCode"": ""BR"", ""device"": ""DESKTOP"", ""domain"": ""google.com.br"", ""languageCode"": ""pt-BR"", ""locationUule"": null, ""page"": 2, ""resultsPerPage"": 10, ""term"": ""Corinthians"", ""type"": ""SEARCH"", ""url"": ""http://www.google.com.br/search?q=Corinthians&hl=pt-BR&start=10""}"
,https://www.google.com.br/search?sca_esv=ee794735903e3348&hl=pt-BR&q=Sele%C3%A7%C3%A3o+Brasileira&stick=H4sIAAAAAAAAAOMwVOLUz9U3MDQ2NYr_xciwgYXhFQs3F0TMMqc8CYmXa2KELFeRi-CBdCPLlVQi6zMzQJFLR5ZLzkXmWWYg80wNF7GKBKfmpB5efnhxvoJTUWJxZk5qZlHiLTZJht2LOn6yuO433GhpvHGT2OPt7L_c_9amzVi5iEPJv7QEqFShILW4OB9IlyTmJh1emQviF5ZmFicWJeau4GAEAOOXGCT6AAAA&sa=X&ved=2ahUKEwj2jaaw-sSQAxUoSTABHRl5LsM4ChCz2gEoAHoECCwQGQ,Corinthians,"{""countryCode"": ""BR"", ""device"": ""DESKTOP"", ""domain"": ""google.com.br"", ""languageCode"": ""pt-BR"", ""locationUule"": null, ""page"": 2, ""resultsPerPage"": 10, ""term"": ""Corinthians"", ""type"": ""SEARCH"", ""url"": ""http://www.google.com.br/search?q=Corinthians&hl=pt-BR&start=10""}"
,https://www.google.com.br/search?sca_esv=ee794735903e3348&hl=pt-BR&q=Flamengo&stick=H4sIAAAAAAAAAOMwVOLUz9U3MLTMKan8xciwgYXhFQs3F0ysPAmJl2tihCxXkYvgGZsaxSPLlVQi6zMzQJFLR5ZLzkXmWWYg80wNF7FyuOUk5qbmpeffYpNk2L2o4yeL637DjZbGGzeJPd7O_sv9b23ajJWLOJT8S0uKEosVClKLi_OBdElibtLhlbkgfmFpZnFiUWLuCg5GAIQBsaTuAAAA&sa=X&ved=2ahUKEwj2jaaw-sSQAxUoSTABHRl5LsM4ChCz2gEoAHoECCwQHg,Corinthians,"{""countryCode"": ""BR"", ""device"": ""DESKTOP"", ""domain"": ""google.com.br"", ""languageCode"": ""pt-BR"", ""locationUule"": null, ""page"": 2, ""resultsPerPage"": 10, ""term"": ""Corinthians"", ""type"": ""SEARCH"", ""url"": ""http://www.google.com.br/search?q=Corinthians&hl=pt-BR&start=10""}"
,https://www.google.com.br/search?sca_esv=ee794735903e3348&hl=pt-BR&q=Cruzeiro+Esporte+Clube&stick=H4sIAAAAAAAAAOMwVOLUz9U3MLTMNTP4xciwgYXhFQs3F1QspzwJiZdrYoQsV5GL4BmbGsUjy5VUIuszM0CRS0eWS85F5llmIPNMDRexijkXlValZhblK7gWF-QXlaQqOOeUJqXeYpNk2L2o4yeL637DjZbGGzeJPd7O_sv9b23ajJWLOJT8S0uKEosVClKLi_OBdElibtLhlbkgfmFpZnFiUWLuCg5GADLCdvT8AAAA&sa=X&ved=2ahUKEwj2jaaw-sSQAxUoSTABHRl5LsM4ChCz2gEoAHoECCwQIw,Corinthians,"{""countryCode"": ""BR"", ""device"": ""DESKTOP"", ""domain"": ""google.com.br"", ""languageCode"": ""pt-BR"", ""locationUule"": null, ""page"": 2, ""resultsPerPage"": 10, ""term"": ""Corinthians"", ""type"": ""SEARCH"", ""url"": ""http://www.google.com.br/search?q=Corinthians&hl=pt-BR&start=10""}"
,https://www.google.com.br/search?sca_esv=ee794735903e3348&hl=pt-BR&q=Corinthians+jogo&sa=X&ved=2ahUKEwj2jaaw-sSQAxUoSTABHRl5LsM4ChDVAnoECC4QAQ,Corinthians,"{""countryCode"": ""BR"", ""device"": ""DESKTOP"", ""domain"": ""google.com.br"", ""languageCode"": ""pt-BR"", ""locationUule"": null, ""page"": 2, ""resultsPerPage"": 10, ""term"": ""Corinthians"", ""type"": ""SEARCH"", ""url"": ""http://www.google.com.br/search?q=Corinthians&hl=pt-BR&start=10""}"
,https://www.google.com.br/search?sca_esv=ee794735903e3348&hl=pt-BR&q=Jogo+do+Corinthians+ao+vivo&sa=X&ved=2ahUKEwj2jaaw-sSQAxUoSTABHRl5LsM4ChDVAnoECDEQAQ,Corinthians,"{""countryCode"": ""BR"", ""device"": ""DESKTOP"", ""domain"": ""google.com.br"", ""languageCode"": ""pt-BR"", ""locationUule"": null, ""page"": 2, ""resultsPerPage"": 10, ""term"": ""Corinthians"", ""type"": ""SEARCH"", ""url"": ""http://www.google.com.br/search?q=Corinthians&hl=pt-BR&start=10""}"
,https://www.google.com.br/search?sca_esv=ee794735903e3348&hl=pt-BR&q=Gazeta+Corinthians&sa=X&ved=2ahUKEwj2jaaw-sSQAxUoSTABHRl5LsM4ChDVAnoECDYQAQ,Corinthians,"{""countryCode"": ""BR"", ""device"": ""DESKTOP"", ""domain"": ""google.com.br"", ""languageCode"": ""pt-BR"", ""locationUule"": null, ""page"": 2, ""resultsPerPage"": 10, ""term"": ""Corinthians"", ""type"": ""SEARCH"", ""url"": ""http://www.google.com.br/search?q=Corinthians&hl=pt-BR&start=10""}"
,https://www.google.com.br/search?sca_esv=ee794735903e3348&hl=pt-BR&q=Corinthians+e+vit%C3%B3ria&sa=X&ved=2ahUKEwj2jaaw-sSQAxUoSTABHRl5LsM4ChDVAnoECDcQAQ,Corinthians,"{""countryCode"": ""BR"", ""device"": ""DESKTOP"", ""domain"": ""google.com.br"", ""languageCode"": ""pt-BR"", ""locationUule"": null, ""page"": 2, ""resultsPerPage"": 10, ""term"": ""Corinthians"", ""type"": ""SEARCH"", ""url"": ""http://www.google.com.br/search?q=Corinthians&hl=pt-BR&start=10""}"
,https://www.google.com.br/search?sca_esv=ee794735903e3348&hl=pt-BR&q=Melhores+momentos+corinthians&sa=X&ved=2ahUKEwj2jaaw-sSQAxUoSTABHRl5LsM4ChDVAnoECDkQAQ,Corinthians,"{""countryCode"": ""BR"", ""device"": ""DESKTOP"", ""domain"": ""google.com.br"", ""languageCode"": ""pt-BR"", ""locationUule"": null, ""page"": 2, ""resultsPerPage"": 10, ""term"": ""Corinthians"", ""type"": ""SEARCH"", ""url"": ""http://www.google.com.br/search?q=Corinthians&hl=pt-BR&start=10""}"
,https://www.google.com.br/search?sca_esv=ee794735903e3348&hl=pt-BR&q=Corinthians+hoje+Brasileir%C3%A3o&sa=X&ved=2ahUKEwj2jaaw-sSQAxUoSTABHRl5LsM4ChDVAnoECDoQAQ,Corinthians,"{""countryCode"": ""BR"", ""device"": ""DESKTOP"", ""domain"": ""google.com.br"", ""languageCode"": ""pt-BR"", ""locationUule"": null, ""page"": 2, ""resultsPerPage"": 10, ""term"": ""Corinthians"", ""type"": ""SEARCH"", ""url"": ""http://www.google.com.br/search?q=Corinthians&hl=pt-BR&start=10""}"
